Name,Location,ratings,Features,Price,Description,Images,Guests,
Kethaka Aga,tissamaharama,7,"[When you stay at Blue Waters Arugambay in Pottuvil, youll be on the beach and steps from Pottuvil Point. Featured amenities include express check-in, express check-out, and complimentary newspapers in the lobby. A roundtrip airport shuttle is provid…Hotels.comRead more]",94,"When you stay at Blue Waters Arugambay in Pottuvil, youll be on the beach and steps from Pottuvil Point. Featured amenities include express check-in, express check-out, and complimentary newspapers in the lobby. A roundtrip airport shuttle is provid…Hotels.comRead more","'https://content.r9cdn.net/rimg/himg/1e/5f/4b/expediav2-35192856-81a60c20_z-591790.jpg?width=1020&height=1020&xhint=500&yhint=390&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d6/4e/bd/hotelsdotcom-1127171392-9f8bdeb3_w-265720.jpg?width=1020&height=1020&xhint=1000&yhint=650&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/1e/5f/4b/expediav2-35192856-b57f5207_z-837596.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/1e/5f/4b/expediav2-35192856-14a38866_z-111447.jpg?width=1020&height=1020&xhint=500&yhint=360&crop=true&watermarkheight=28&watermarkpadding=10'",4,
Parangi Weligama Bay - Thema Collection,weligama,6,"Snorkeling,Outdoor pool,Beachfront,Room service,Tea/coffee maker,Free parking,Flat-screen TV,TV,Cable or satellite TV,Free toiletries,[Located in Nuwara Eliya, The Blackpool Hotel is within a 5-minute drive of Victoria Park and Galway Forest Reserve. This 4.5-star hotel is 2.3 mi (3.6 km) from Assemblies of God Church Nuwara Eliya and 2.4 mi (3.8 km) from Nuwara Eliya Golf Club. Mak…SemboRead more]",180,"Located in Nuwara Eliya, The Blackpool Hotel is within a 5-minute drive of Victoria Park and Galway Forest Reserve. This 4.5-star hotel is 2.3 mi (3.6 km) from Assemblies of God Church Nuwara Eliya and 2.4 mi (3.8 km) from Nuwara Eliya Golf Club. Mak…SemboRead more","'https://content.r9cdn.net/rimg/himg/15/60/44/expediav2-2448597-ed362f-633073.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/02/8f/e9/expediav2-2448597-357416-712696.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/23/37/4c/expediav2-2448597-87de2d-666990.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/cd/1e/ef/expediav2-2448597-7ab19a-816715.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",4,
Thilanka Hotel,kandy,6,"Outdoor pool,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Coffee shop,Valet parking,[Rooms Make yourself at home in one of the 50 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower…Viajes Exito Hotels]",212,"Rooms Make yourself at home in one of the 50 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower…Viajes Exito Hotels","'https://content.r9cdn.net/rimg/himg/08/d0/9e/expediav2-2771748-841343347-917520.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/60/d3/cb/ostrovok-2771748-0878da-369513.jpg?width=1020&height=1020&xhint=552&yhint=340&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/32/04/c7/ostrovok-2771748-e86f10-360285.jpg?width=1020&height=1020&xhint=614&yhint=288&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6c/cb/52/expediav2-2771748-6aa538-988294.jpg?width=1020&height=1020&xhint=500&yhint=281&crop=true&watermarkheight=28&watermarkpadding=10'",4,
Beach & Bliss Mirissa,mirissa,7,"Private beach,Snorkeling,Outdoor pool,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Free parking,[Amelia Resort is a modern hotel in an exotic natural environment at Sigiriya, where every guest receives personalized attention. Amelia Resort at present operate with 07 separate luxury rooms abutting a forest reserve provides the guests with utmost …VRBO]",200,"Amelia Resort is a modern hotel in an exotic natural environment at Sigiriya, where every guest receives personalized attention. Amelia Resort at present operate with 07 separate luxury rooms abutting a forest reserve provides the guests with utmost …VRBO","'https://content.r9cdn.net/rimg/himg/23/45/76/hotelsdotcom-723501216-6cafdd0e_w-789106.jpg?width=1020&height=1020&xhint=1000&yhint=780&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d8/00/0e/expediav2-3176475-c5425c-769781.jpg?width=1020&height=1020&xhint=480&yhint=243&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/5e/03/35/expediav2-3176475-90064d-921107.jpg?width=1020&height=1020&xhint=500&yhint=390&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/49/6c/d1/homeawayv2-32111564271704666-eafe6d68.c10-093501.jpg?width=1020&height=1020&xhint=532&yhint=249&crop=true&watermarkheight=28&watermarkpadding=10'",3,
Serenity Hill Oasis,kandy,10,"[This property offers an ideal location where it sits near Negombo for about 7 km away and only 13 km away from Bandaranaike International Airport (CMB). Facilities and Services includes air conditioning, bar / restaurant, parking facilities, Wi-Fi, T…WebBedsRead more]",44,"This property offers an ideal location where it sits near Negombo for about 7 km away and only 13 km away from Bandaranaike International Airport (CMB). Facilities and Services includes air conditioning, bar / restaurant, parking facilities, Wi-Fi, T…WebBedsRead more","'https://content.r9cdn.net/rimg/himg/22/61/0a/expediav2-44903213-78b62e1a_z-141227.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/22/61/0a/expediav2-44903213-deea43dd_z-283058.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/22/61/0a/expediav2-44903213-61cdaaab_z-325710.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/22/61/0a/expediav2-44903213-b2dcff85_z-573764.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",5,
The Apartments by Lanka Vacations,colombo,8,"City view,Kitchen,Kitchenette,Terrace/Patio,Balcony,Outdoor dining area,Air-conditioned,Coffee machine,Laundry facilities,Washing machine,[This spa hotel is 7.3 mi (11.7 km) from Pallekele International Cricket Stadium and 13.7 mi (22 km) from Udawatta Kele Sanctuary. Treat yourself to a stay in one of the 20 individually furnished guestrooms, featuring fireplaces. Rooms have private ba…SemboRead more]",142,"This spa hotel is 7.3 mi (11.7 km) from Pallekele International Cricket Stadium and 13.7 mi (22 km) from Udawatta Kele Sanctuary. Treat yourself to a stay in one of the 20 individually furnished guestrooms, featuring fireplaces. Rooms have private ba…SemboRead more","'/rimg/himg/c3/b7/64/expediav2-653205-70d81d-745425.jpg?width=510&height=510&crop=true', '/rimg/himg/e1/05/27/expediav2-653205-e1386e-154433.jpg?width=510&height=510&crop=true', '/rimg/himg/87/ca/29/expediav2-653205-7a7a48-711169.jpg?width=510&height=510&crop=true', '/rimg/himg/1d/39/f0/expediav2-653205-2731706377-998529.jpg?width=510&height=510&crop=true'",1,
Blue Waters,arugam,8,"Private beach,Restaurant,Room service,Free Wi-Fi,Coffee shop,Valet parking,Free parking,Wi-Fi available in all areas,Free toiletries,Internet,[Located in Hatton, Villa Serenity is on the waterfront, within a 15-minute drive of Devon Falls and Christ Church Warleigh. Featured amenities include express check-in, express check-out, and complimentary newspapers in the lobby. Free self parking i…Hotels.com]",109,"Located in Hatton, Villa Serenity is on the waterfront, within a 15-minute drive of Devon Falls and Christ Church Warleigh. Featured amenities include express check-in, express check-out, and complimentary newspapers in the lobby. Free self parking i…Hotels.com","'https://content.r9cdn.net/rimg/himg/ba/59/a8/expediav2-6297529-43d147-045732.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b4/fa/9c/expediav2-6297529-1643e5-959805.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/07/a8/e7/expediav2-6297529-b0fa47-018964.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f3/69/35/expediav2-6297529-55f189-096922.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",1,
The Blackpool Hotel,nuwara eliya,10,"Outdoor pool,Spa and wellness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Valet parking,Free parking,[A stay at Avasta Resort & Spa places you in the heart of Anuradhapura, a 5-minute drive from Isurumuniya Vihara and 5 minutes from Ruwanwelisaya. This hotel is 2.6 mi (4.2 km) from Jetavanaramaya and 2.6 mi (4.2 km) from Mirisawetiya Stupa. Make your…SemboRead more]",295,"A stay at Avasta Resort & Spa places you in the heart of Anuradhapura, a 5-minute drive from Isurumuniya Vihara and 5 minutes from Ruwanwelisaya. This hotel is 2.6 mi (4.2 km) from Jetavanaramaya and 2.6 mi (4.2 km) from Mirisawetiya Stupa. Make your…SemboRead more","'/rimg/himg/7a/b2/48/expediav2-2013710-1023860532-949662.jpg?width=510&height=510&crop=true', '/rimg/himg/0d/dc/51/expediav2-2013710-1621761713-153939.jpg?width=510&height=510&crop=true', '/rimg/himg/9f/7c/b5/expediav2-2013710-1898161151-214631.jpg?width=510&height=510&crop=true', '/rimg/himg/8b/3c/4e/expediav2-2013710-b339e2-638493.jpg?width=510&height=510&crop=true'",2,
Aubrona Hotel,wattala,6,"Outdoor pool,Fitness center,Room service,Free Wi-Fi,Flat-screen TV,Free toiletries,Child pool,Parking,Spa,Laundry service,[Located in Hikkaduwa, this welcoming villa lets you experience it all. Narigama Beach is just a short walk away, so you can leave your car at the property, which offers onsite parking, or jump in your vehicle to make short work of the 2-minute drive …ExpediaRead more]",44,"Located in Hikkaduwa, this welcoming villa lets you experience it all. Narigama Beach is just a short walk away, so you can leave your car at the property, which offers onsite parking, or jump in your vehicle to make short work of the 2-minute drive …ExpediaRead more","'https://content.r9cdn.net/rimg/himg/68/82/f3/expediav2-4659986-7bcde5-904527.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/33/06/4c/expediav2-4659986-657d3d-860014.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/45/4c/54/expediav2-4659986-d65cbd-763508.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/5a/04/60/expediav2-4659986-e8eafd-894793.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",1,
Lakeside Cottages,nuwara eliya,10,"[While youre here, you can enjoy all the comforts of home and more, including a rainfall showerhead and a refrigerator, as well as free WiFi and a garden. Other amenities include a refrigerator, a microwave, kitchenware and utensils, and a picnic are…ExpediaRead more]",102,"While youre here, you can enjoy all the comforts of home and more, including a rainfall showerhead and a refrigerator, as well as free WiFi and a garden. Other amenities include a refrigerator, a microwave, kitchenware and utensils, and a picnic are…ExpediaRead more","'/rimg/himg/8d/50/a7/expediav2-2850486-f45709-376813.jpg?width=510&height=510&crop=true', '/rimg/himg/50/30/48/expediav2-2850486-c8a579-109458.jpg?width=510&height=510&crop=true', '/rimg/himg/18/42/0c/expediav2-2850486-ef2426-395025.jpg?width=510&height=510&crop=true', '/rimg/himg/60/ff/39/expediav2-2850486-ede55e-410006.jpg?width=510&height=510&crop=true'",5,
Amelia Resort,sigiriya,7,"Outdoor pool,Indoor pool,Restaurant,Bar/Lounge,Room service,Bicycle rental,Free Wi-Fi,Tea/coffee maker,Coffee machine,Valet parking,[Rooms Make yourself at home in one of the 3 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and complimentary toiletries. Conveniences include complimentary bottled water and portable fans…Viajes Exito HotelsRead more]",198,Rooms Make yourself at home in one of the 3 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and complimentary toiletries. Conveniences include complimentary bottled water and portable fans…Viajes Exito HotelsRead more,"'/rimg/himg/6f/71/a9/expediav2-662226-3422a3-852129.jpg?width=510&height=510&crop=true', '/rimg/himg/4a/42/51/expediav2-662226-a456fa-868993.jpg?width=510&height=510&crop=true', '/rimg/himg/97/56/08/expediav2-662226-f8d1dd-767999.jpg?width=510&height=510&crop=true', '/rimg/himg/bb/08/18/expediav2-662226-58f36b-965700.jpg?width=510&height=510&crop=true'",1,
Sea Horse Hotel & Spa,negombo,9,"Outdoor pool,Spa and wellness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Free parking,Flat-screen TV,TV,Cable or satellite TV,[While youre here, you can enjoy all the comforts of home and more, including a rainfall showerhead and free WiFi, as well as a garden and air conditioning. Other amenities include towels, kitchenware and utensils, tour/ticket assistance, and a sitti…ExpediaRead more]",86,"While youre here, you can enjoy all the comforts of home and more, including a rainfall showerhead and free WiFi, as well as a garden and air conditioning. Other amenities include towels, kitchenware and utensils, tour/ticket assistance, and a sitti…ExpediaRead more","'https://content.r9cdn.net/rimg/himg/92/b2/2f/expediav2-42344595-bee1449c_z-772897.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/90/48/40/hotelsdotcom-1356027040-d71e186e_w-317650.jpg?width=1020&height=1020&xhint=1000&yhint=666&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/92/b2/2f/expediav2-42344595-52ce9683_z-010528.jpg?width=1020&height=1020&xhint=333&yhint=500&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/92/b2/2f/expediav2-42344595-9c952954_z-451437.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",2,
The Kandy Samadhicentre,kandy,6,"Spa and wellness center,Fitness center,Restaurant,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Free parking,Free toiletries,Meeting/Banquet facilities,[This villa brings it all within your reach. Fans of nature and the outdoors will love being 36 minutes by car from Nonpareil Estate Falls and 31 minutes from Diyaluma Falls. Jump into your car and make short work of the 8-minute drive to Horton Plain…ExpediaRead more]",250,This villa brings it all within your reach. Fans of nature and the outdoors will love being 36 minutes by car from Nonpareil Estate Falls and 31 minutes from Diyaluma Falls. Jump into your car and make short work of the 8-minute drive to Horton Plain…ExpediaRead more,"'/rimg/himg/59/e3/d7/expediav2-4821927-3c6dfd-763234.jpg?width=510&height=510&crop=true', '/rimg/himg/4b/67/3e/expediav2-4821927-bfe13b-290085.jpg?width=510&height=510&crop=true', '/rimg/himg/5b/43/d7/expediav2-4821927-060087-983305.jpg?width=510&height=510&crop=true', '/rimg/himg/61/89/81/expediav2-4821927-ea2781-588190.jpg?width=510&height=510&crop=true'",5,
Villa Serenity,hatton,9,"Fitness center,Restaurant,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Free parking,Flat-screen TV,TV,Cable or satellite TV,[Located in Colombo, this welcoming villa brings it all within your reach. With the propertys convenient onsite parking, youll be ready to make the quick 3-minute drive to Bandaranaike Memorial International Conference Hall or the 4-minute drive to …ExpediaRead more]",312,"Located in Colombo, this welcoming villa brings it all within your reach. With the propertys convenient onsite parking, youll be ready to make the quick 3-minute drive to Bandaranaike Memorial International Conference Hall or the 4-minute drive to …ExpediaRead more","'https://content.r9cdn.net/rimg/himg/e6/43/99/homeawayv2-12172693116564732-279bf41c.c10-544132.jpg?width=1020&height=1020&xhint=512&yhint=399&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e6/43/99/homeawayv2-12172693116564732-6c62e146.c10-785307.jpg?width=1020&height=1020&xhint=512&yhint=384&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e6/43/99/homeawayv2-12172693116564732-3c2a9a63.c10-546026.jpg?width=1020&height=1020&xhint=512&yhint=399&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/8f/98/06/expediav2-2985103-0c4e76-763813.jpg?width=1020&height=1020&xhint=500&yhint=390&crop=true&watermarkheight=28&watermarkpadding=10'",2,
Avasta Resort And Spa,anuradhapura,10,"Outdoor pool,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Coffee shop,Free parking,[Located a few steps from Pitiwella Beach and 500 metres from Boossa Beach in the centre of Galle, Ranil Villa provides accommodation with free WiFi and free private parking. Fitted with a terrace, the units offer air conditioning and feature a flat-s…Booking.com]",160,"Located a few steps from Pitiwella Beach and 500 metres from Boossa Beach in the centre of Galle, Ranil Villa provides accommodation with free WiFi and free private parking. Fitted with a terrace, the units offer air conditioning and feature a flat-s…Booking.com","'https://content.r9cdn.net/rimg/himg/6a/9a/37/expediav2-8318259-569136-914387.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/03/3f/d8/expediav2-8318259-46bae0-869491.jpg?width=1020&height=1020&xhint=500&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/dc/ab/88/expediav2-8318259-f6aa87-949279.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6f/d0/16/expediav2-8318259-5132a0-085067.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",5,
Sydney Homestay,hikkaduwa,9,"Kitchen,Terrace/Patio,Air-conditioned,Linens,Towels,Flat-screen TV,Free toiletries,Internet,Pets allowed on request. Charges may apply.,Airport shuttle (surcharge),[With a stay at Beatrice House in Galle, youll be within a 10-minute drive of Galle Fort and Galle National Museum. Featured amenities include complimentary newspapers in the lobby, a 24-hour front desk, and laundry facilities. Free self parking is a…Hotels.comRead more]",39,"With a stay at Beatrice House in Galle, youll be within a 10-minute drive of Galle Fort and Galle National Museum. Featured amenities include complimentary newspapers in the lobby, a 24-hour front desk, and laundry facilities. Free self parking is a…Hotels.comRead more","'/rimg/himg/4b/88/ec/expediav2-2373125-f7574b-108286.jpg?width=510&height=510&crop=true', '/rimg/himg/a3/6e/4e/expediav2-2373125-50f63c-562311.jpg?width=510&height=510&crop=true', '/rimg/himg/c0/d6/33/expediav2-2373125-84162c-188630.jpg?width=510&height=510&crop=true', '/rimg/himg/db/ea/8b/expediav2-2373125-6b6b1e-298186.jpg?width=510&height=510&crop=true'",2,
Paraiso Guest House,ella,6,"[While youre here, you can enjoy all the comforts of home and more, including a rainfall showerhead and a refrigerator, as well as a dishwasher and free WiFi. Other amenities include laundry facilities, towels, an electric kettle, and kitchenware and…Expedia]",47,"While youre here, you can enjoy all the comforts of home and more, including a rainfall showerhead and a refrigerator, as well as a dishwasher and free WiFi. Other amenities include laundry facilities, towels, an electric kettle, and kitchenware and…Expedia","'/rimg/himg/72/d6/01/expediav2-902891-9272a9-174223.jpg?width=510&height=510&crop=true', '/rimg/himg/7d/61/dd/hotelsdotcom-1071530496-2ab2a13c_w-041155.jpg?width=510&height=510&crop=true', '/rimg/himg/b2/e6/d6/expediav2-902891-007653-194399.jpg?width=510&height=510&crop=true', '/rimg/himg/ea/ab/38/expediav2-902891-5a5ee7-151199.jpg?width=510&height=510&crop=true'",3,
Girilena Guest House,hikkaduwa,9,"Mountain view,Kitchen,Kitchenette,Terrace/Patio,Balcony,Outdoor dining area,Air-conditioned,Washing machine,Linens,Towels,[Rooms Make yourself at home in one of the 15 guestrooms featuring minibars. Rooms have private patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and c…Viajes Exito HotelsRead more]",34,"Rooms Make yourself at home in one of the 15 guestrooms featuring minibars. Rooms have private patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and c…Viajes Exito HotelsRead more","'https://content.r9cdn.net/rimg/himg/e5/c8/4e/expediav2-16188421-427c87aa_z-533157.jpg?width=1020&height=1020&xhint=500&yhint=390&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ea/ba/b7/expediav2-737124-f4c4a1-885079.jpg?width=1020&height=1020&xhint=500&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/48/cb/3b/expediav2-737124-1434201290-470624.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e5/c8/4e/expediav2-16188421-0eab9505_z-648604.jpg?width=1020&height=1020&xhint=500&yhint=390&crop=true&watermarkheight=28&watermarkpadding=10'",3,
Sunnyside Holiday Bungalow,ella,8,"Game room,Terrace/Patio,Linens,Towels,Free toiletries,Board games/puzzles,Internet,Restaurant,Complimentary breakfast,24hr front desk,[Just a short distance from hiking and biking trails, this smoke-free villa lets you experience it all. Thanks to the convenient onsite parking, you can either leave your vehicle behind and let your feet make short work of the 15-minute walk to Lake G…ExpediaRead more]",28,"Just a short distance from hiking and biking trails, this smoke-free villa lets you experience it all. Thanks to the convenient onsite parking, you can either leave your vehicle behind and let your feet make short work of the 15-minute walk to Lake G…ExpediaRead more","'https://content.r9cdn.net/rimg/himg/fe/4e/db/expediav2-2381411-6e639c-361074.jpg?width=1020&height=1020&xhint=500&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/cc/12/55/expediav2-2381411-813d77-182624.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/95/c7/78/expediav2-2381411-9f5f4c-998685.jpg?width=1020&height=1020&xhint=480&yhint=281&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e5/5a/9f/expediav2-2381411-f4e73c-136736.jpg?width=1020&height=1020&xhint=460&yhint=281&crop=true&watermarkheight=28&watermarkpadding=10'",2,
Hasaranga Holiday House,hikkaduwa,9,"Kitchen,Kitchenette,Terrace/Patio,Balcony,Air-conditioned,Linens,Towels,TV,Grill,Internet,[Located in Colombo, this aparthotel is next to a golf course, within a 5-minute walk of United States Embassy Colombo and Liberty Plaza. This golf aparthotel is 0.4 mi (0.7 km) from Crescat Shopping Mall and 0.5 mi (0.9 km) from St Anthonys Church. …Sembo]",44,"Located in Colombo, this aparthotel is next to a golf course, within a 5-minute walk of United States Embassy Colombo and Liberty Plaza. This golf aparthotel is 0.4 mi (0.7 km) from Crescat Shopping Mall and 0.5 mi (0.9 km) from St Anthonys Church. …Sembo","'/rimg/himg/4c/7d/e6/expediav2-4754757-2ef8a1-434683.jpg?width=510&height=510&crop=true', '/rimg/himg/96/6d/cb/expediav2-4754757-7c5952-449840.jpg?width=510&height=510&crop=true', '/rimg/himg/6f/f5/c6/expediav2-4754757-345885-341914.jpg?width=510&height=510&crop=true', '/rimg/himg/fc/78/04/expediav2-4754757-3975fa-356202.jpg?width=510&height=510&crop=true'",2,
Mount View Family Rest & Cottage,bandarawela,10,"Mountain view,Water slide,Kitchen,Kitchenette,Terrace/Patio,Outdoor dining area,Coffee machine,Washing machine,Towels,Flat-screen TV,[Offering a terrace and garden view, Hendy Bungalow is set in Dickwella, 2 km from Dickwella Beach and 10 km from Hummanaya Blow Hole. Located 1.5 km from Bathigama Beach, the property provides a garden and free private parking. This holiday home is e…Booking.com]",11,"Offering a terrace and garden view, Hendy Bungalow is set in Dickwella, 2 km from Dickwella Beach and 10 km from Hummanaya Blow Hole. Located 1.5 km from Bathigama Beach, the property provides a garden and free private parking. This holiday home is e…Booking.com","'https://content.r9cdn.net/rimg/himg/67/2e/34/expediav2-8676077-31f789-394342.jpg?width=1020&height=1020&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/58/f9/c4/expediav2-8676077-a457ef-460221.jpg?width=1020&height=1020&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/be/b8/67/expediav2-8676077-cc15e3-409504.jpg?width=1020&height=1020&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d1/92/cc/expediav2-8676077-186da8-418329.jpg?width=1020&height=1020&crop=true&watermarkheight=28&watermarkpadding=10'",4,
Colombo Residence,colombo,6,"Adults only,Kitchen,Terrace/Patio,Balcony,Air-conditioned,Washing machine,Linens,Towels,Flat-screen TV,TV,[While youre here, you can enjoy all the comforts of home and more, including a full-sized refrigerator/freezer and free WiFi, as well as a garden and an ironing board. Other amenities include laundry facilities, towels, kitchenware and utensils, and…Expedia]",70,"While youre here, you can enjoy all the comforts of home and more, including a full-sized refrigerator/freezer and free WiFi, as well as a garden and an ironing board. Other amenities include laundry facilities, towels, kitchenware and utensils, and…Expedia","'https://content.r9cdn.net/rimg/himg/e2/62/fd/hotelsdotcom-1081913440-46567d2b_w-883286.jpg?width=1020&height=1020&xhint=510&yhint=1062&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ef/39/44/expediav2-33778545-65b8b808_z-648548.jpg?width=1020&height=1020&xhint=500&yhint=356&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ef/39/44/expediav2-33778545-d2fdafe3_z-620679.jpg?width=1020&height=1020&xhint=286&yhint=560&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ef/39/44/expediav2-33778545-4a7bcdae_z-230955.jpg?width=1020&height=1020&xhint=520&yhint=281&crop=true&watermarkheight=28&watermarkpadding=10'",3,
